Id,HotelName,Provider,CityName,CountryCode,CheckInDate,CheckOutDate,IsGuaranteed,Price
873200,Ashley Hotel Wahid Hasyim Jakarta,JV,Jakarta,ID,10/29/2025,10/30/2025,TRUE,1076854.14
873201,Ammi Hotel,JV,Cepu,ID,10/30/2025,10/31/2025,TRUE,1293770.44
873202,Grand Central Premier Hotel Medan,DOTW,Medan,ID,10/29/2025,10/30/2025,TRUE,0
873203,The Luxton Bandung,JV,Bandung,ID,10/29/2025,10/31/2025,TRUE,2272425.48
873204,"voco Bandung Setiabudi, an IHG Hotel",KB,Bandung,ID,10/30/2025,10/31/2025,TRUE,1225000
873205,Le Mansion Senopati,KB,Jakarta,ID,10/29/2025,10/31/2025,TRUE,1630848.94
873206,favehotel Prabumulih,JV,prabumulih,ID,10/29/2025,10/31/2025,TRUE,1612401.76
873207,Hotel NEO+ Green Savana Sentul City,JV,Bogor,ID,10/31/2025,11/1/2025,TRUE,1078779
873208,The Zuri Dumai,JV,Dumai,ID,10/29/2025,10/30/2025,TRUE,800024.18
873209,Hotel Borobudur Jakarta,KB,Jakarta,ID,10/29/2025,10/30/2025,TRUE,1478235
873210,Azana Asia Hotel Cilacap,KB,Cilacap,ID,10/29/2025,10/31/2025,TRUE,2253632.39
873211,Lumire Hotel and Convention Center,JV,Jakarta,ID,10/30/2025,11/1/2025,TRUE,2676404.96
873212,Arthama Hotel Makassar,JV,Makassar,ID,10/29/2025,11/1/2025,TRUE,2179738.44
873213,Grand Tjokro Premiere Bandung,KB,Bandung,ID,11/2/2025,11/5/2025,TRUE,2166409.52
873215,Holiday Inn Guangzhou Airport Zone,JV,Guangzhou,CN,10/29/2025,10/30/2025,TRUE,1984661.26
873216,Hotel Monopoli,JV,Jakarta,ID,11/2/2025,11/5/2025,TRUE,1884985.2
873217,Mamaka by Ovolo,KB,Bali,ID,10/30/2025,10/31/2025,TRUE,1279385.96
873218,Janevalla Bandung,KB,Bandung,ID,10/29/2025,10/31/2025,TRUE,1780028.98
873219,Goodrich Suites Jakarta,JV,Jakarta,ID,10/29/2025,11/1/2025,TRUE,3732235.49
873220,Orchardz Hotel Ayani,JV,Pontianak,ID,11/6/2025,11/7/2025,FALSE,527329.47
873221,"voco Bandung Setiabudi, an IHG Hotel",KB,Bandung,ID,10/29/2025,11/1/2025,TRUE,3351000
873222,Mercure Bali Legian,JV,Bali,ID,10/30/2025,10/31/2025,TRUE,900600
873223,Tunjungan Hotel Surabaya,JV,Surabaya,ID,10/29/2025,11/1/2025,TRUE,2686320
873224,Hotel Santika Bogor,KB,Bogor,ID,11/8/2025,11/9/2025,FALSE,988000
873225,Meliá Purosani Yogyakarta,KB,Yogyakarta,ID,10/29/2025,10/31/2025,TRUE,2483062.5
873226,Kamari Hotel Ambon,JV,Ambon,ID,11/2/2025,11/8/2025,TRUE,2943160.86
873227,Erian Hotel,KB,Jakarta,ID,10/29/2025,10/30/2025,TRUE,877158.94
873228,Kamari Hotel Ambon,JV,Ambon,ID,11/2/2025,11/8/2025,TRUE,2943160.86
873229,Hotel NEO+ Green Savana Sentul City,JV,Bogor,ID,10/31/2025,11/1/2025,TRUE,1078779
873230,THE 1O1 Bandung Dago,JV,Bandung,ID,10/29/2025,10/30/2025,TRUE,1010808
873231,Lumire Hotel and Convention Center,JV,Jakarta,ID,10/29/2025,10/31/2025,TRUE,2818400
873232,Cordia Hotel Makassar Airport,JV,Makassar,ID,10/31/2025,11/1/2025,TRUE,476531.56
873233,HARRIS Hotel & Suites Nagoya Batam,JV,Batam,ID,10/29/2025,11/1/2025,TRUE,3935381.15
873234,Bigland Hotel International & Convention Hall,JV,Bogor,ID,11/3/2025,11/5/2025,TRUE,2846185.56
873235,FUGO Hotel Banjarmasin,KB,Banjarmasin,ID,10/29/2025,10/31/2025,TRUE,2413122
873236,Patra Malioboro Hotel,KB,Yogyakarta,ID,10/29/2025,10/31/2025,TRUE,2233483.2
873237,Midtown Hotel Surabaya,KB,Surabaya,ID,10/29/2025,10/30/2025,TRUE,450000
873238,Bigland Hotel International & Convention Hall,KB,Bogor,ID,10/29/2025,10/31/2025,TRUE,2003875
873239,Grand Swiss-Belhotel Darmo Surabaya,KB,Surabaya,ID,10/29/2025,11/2/2025,TRUE,2926474.39
873240,d'primahotel Airport Sultan Hasanuddin Makassar (Formerly d'primahotel Perintis Makassar),JV,Makassar,ID,10/29/2025,10/30/2025,TRUE,522302.6
